                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.64744,                 1.0584,                 1.4004,                0.79783,                0.66112,                 0.7538,                0.54612,                0.75578,                 1.0648,                 1.5174,               0.002377,               0.002377,               0.002377
                     79,                0.64481,                 1.0539,                 1.3967,                0.79931,                0.66161,                0.75386,                0.54661,                0.75543,                  1.065,                 1.5169,               0.002278,               0.002278,               0.002278
                     80,                0.64037,                 1.0406,                 1.3897,                0.79826,                0.66334,                0.75515,                0.54705,                0.75505,                 1.0653,                 1.5164,               0.002179,               0.002179,               0.002179
                     81,                 0.6398,                 1.0354,                 1.3887,                 0.7987,                0.66233,                0.75595,                0.54786,                0.75482,                 1.0659,                 1.5159,                0.00208,                0.00208,                0.00208
                     82,                 0.6369,                 1.0298,                 1.3871,                0.79884,                0.66285,                0.75677,                0.54863,                0.75463,                  1.066,                 1.5155,               0.001981,               0.001981,               0.001981
                     83,                0.63463,                 1.0178,                 1.3837,                0.79659,                0.66352,                0.75737,                0.54943,                0.75476,                 1.0673,                 1.5155,               0.001882,               0.001882,               0.001882
                     84,                 0.6337,                 1.0144,                 1.3804,                0.79753,                0.66151,                0.75727,                0.54953,                0.75492,                 1.0679,                 1.5154,               0.001783,               0.001783,               0.001783
                     85,                0.62771,                 1.0039,                 1.3755,                0.80202,                0.66078,                0.75768,                 0.5502,                0.75477,                 1.0689,                  1.515,               0.001684,               0.001684,               0.001684
                     86,                0.62436,                      1,                 1.3712,                0.80447,                0.66009,                0.75831,                0.55082,                0.75467,                 1.0699,                 1.5147,               0.001585,               0.001585,               0.001585
                     87,                0.62221,                0.98927,                   1.37,                0.80668,                0.66093,                0.75856,                 0.5512,                0.75479,                 1.0708,                 1.5147,               0.001486,               0.001486,               0.001486
                     88,                0.61883,                0.98166,                 1.3668,                0.80484,                0.66571,                 0.7598,                0.55179,                0.75488,                 1.0718,                 1.5146,               0.001387,               0.001387,               0.001387
                     89,                0.61686,                0.97309,                 1.3637,                0.80428,                0.66617,                0.75994,                 0.5524,                0.75491,                 1.0724,                 1.5144,               0.001288,               0.001288,               0.001288
                     90,                0.61441,                0.96564,                 1.3601,                0.80621,                0.66546,                0.76074,                0.55285,                0.75491,                 1.0737,                  1.514,               0.001189,               0.001189,               0.001189
                     91,                0.55739,                0.74767,                 1.2949,                0.80732,                 0.6669,                0.76115,                0.55381,                0.75466,                  1.075,                 1.5135,                0.00109,                0.00109,                0.00109
                     92,                0.54727,                0.72643,                  1.283,                0.80852,                0.66724,                0.76133,                0.55434,                0.75465,                  1.077,                 1.5136,               0.000991,               0.000991,               0.000991
                     93,                0.53807,                0.70718,                 1.2705,                0.81284,                0.66224,                0.76162,                0.55494,                0.75446,                 1.0785,                 1.5131,               0.000892,               0.000892,               0.000892
                     94,                0.53454,                0.69886,                  1.267,                0.81113,                0.66453,                0.76195,                0.55581,                0.75454,                 1.0799,                 1.5132,               0.000793,               0.000793,               0.000793
                     95,                0.52837,                0.69038,                   1.26,                0.81285,                0.66403,                0.76204,                0.55603,                 0.7543,                 1.0816,                 1.5127,               0.000694,               0.000694,               0.000694
                     96,                0.52533,                0.68044,                 1.2536,                0.81149,                0.66529,                0.76232,                0.55636,                 0.7546,                 1.0834,                  1.513,               0.000595,               0.000595,               0.000595
                     97,                0.51927,                  0.666,                 1.2475,                0.81429,                0.66311,                0.76294,                0.55686,                0.75439,                 1.0849,                 1.5124,               0.000496,               0.000496,               0.000496
                     98,                0.51183,                0.65561,                 1.2401,                0.80827,                0.66673,                 0.7632,                0.55708,                0.75413,                 1.0863,                 1.5122,               0.000397,               0.000397,               0.000397
                     99,                0.51172,                0.65188,                 1.2416,                0.80509,                0.67279,                0.76401,                0.55762,                0.75435,                 1.0876,                 1.5124,               0.000298,               0.000298,               0.000298
                    100,                0.50724,                0.64316,                 1.2368,                0.80404,                0.67285,                0.76397,                 0.5583,                 0.7545,                 1.0888,                 1.5126,               0.000199,               0.000199,               0.000199
