                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.66871,                 1.1619,                 1.3646,                0.75946,                0.64178,                  0.725,                0.51319,                0.73582,                 1.0403,                 1.4039,               0.003763,               0.003763,               0.003763
                     65,                0.66539,                 1.1488,                 1.3624,                0.76104,                0.64286,                0.72611,                0.51447,                0.73491,                 1.0387,                 1.4025,               0.003664,               0.003664,               0.003664
                     66,                 0.6632,                 1.1462,                 1.3594,                0.76456,                0.64316,                0.72708,                0.51517,                0.73401,                 1.0371,                 1.4012,               0.003565,               0.003565,               0.003565
                     67,                0.66129,                 1.1442,                 1.3563,                0.76424,                0.64371,                0.72704,                 0.5154,                0.73337,                 1.0354,                 1.4003,               0.003466,               0.003466,               0.003466
                     68,                0.66223,                  1.135,                 1.3573,                0.76586,                0.64283,                0.72743,                0.51586,                0.73277,                 1.0336,                 1.3994,               0.003367,               0.003367,               0.003367
                     69,                0.65471,                 1.1224,                 1.3492,                0.77125,                0.64165,                0.72839,                0.51705,                0.73223,                 1.0316,                 1.3983,               0.003268,               0.003268,               0.003268
                     70,                0.65184,                 1.1182,                 1.3473,                0.77031,                0.64344,                0.72836,                0.51789,                0.73184,                 1.0299,                 1.3975,               0.003169,               0.003169,               0.003169
                     71,                0.64613,                 1.1113,                 1.3405,                0.76163,                0.64844,                0.72903,                0.51821,                0.73152,                 1.0283,                 1.3969,                0.00307,                0.00307,                0.00307
                     72,                0.64862,                 1.1084,                 1.3407,                0.76399,                0.64836,                0.72986,                0.51869,                0.73092,                 1.0268,                 1.3959,               0.002971,               0.002971,               0.002971
                     73,                0.64707,                 1.0963,                 1.3412,                0.76517,                0.64808,                0.73059,                0.51937,                0.73026,                 1.0257,                 1.3948,               0.002872,               0.002872,               0.002872
                     74,                0.64398,                 1.0902,                 1.3349,                 0.7687,                0.64686,                0.73138,                0.52017,                0.72984,                 1.0245,                  1.394,               0.002773,               0.002773,               0.002773
                     75,                0.64108,                 1.0813,                 1.3329,                0.78265,                0.63875,                0.73217,                0.52066,                0.72942,                 1.0232,                 1.3932,               0.002674,               0.002674,               0.002674
                     76,                0.64199,                 1.0862,                 1.3351,                0.78646,                0.63588,                0.73296,                0.52124,                0.72872,                 1.0216,                 1.3921,               0.002575,               0.002575,               0.002575
                     77,                0.63731,                 1.0682,                 1.3279,                 0.7841,                0.63812,                0.73332,                0.52191,                0.72805,                 1.0205,                  1.391,               0.002476,               0.002476,               0.002476
                     78,                0.63371,                 1.0609,                 1.3246,                0.78389,                0.64039,                0.73398,                0.52235,                0.72741,                 1.0192,                   1.39,               0.002377,               0.002377,               0.002377
                     79,                0.63028,                 1.0601,                 1.3222,                0.78514,                0.64206,                0.73462,                0.52341,                0.72687,                 1.0179,                 1.3893,               0.002278,               0.002278,               0.002278
                     80,                0.62838,                 1.0517,                 1.3188,                 0.7838,                0.64387,                 0.7356,                0.52358,                0.72588,                 1.0169,                  1.388,               0.002179,               0.002179,               0.002179
                     81,                0.62622,                 1.0415,                 1.3144,                0.77902,                0.64591,                0.73589,                0.52391,                0.72528,                 1.0155,                 1.3871,                0.00208,                0.00208,                0.00208
                     82,                0.62376,                 1.0384,                 1.3115,                0.78062,                0.64503,                0.73626,                 0.5244,                0.72458,                 1.0146,                 1.3861,               0.001981,               0.001981,               0.001981
                     83,                0.62068,                 1.0267,                 1.3104,                0.78087,                0.64444,                0.73703,                 0.5253,                0.72385,                 1.0137,                  1.385,               0.001882,               0.001882,               0.001882
                     84,                0.62307,                 1.0264,                 1.3096,                0.78399,                0.64414,                0.73793,                0.52592,                0.72321,                 1.0123,                 1.3843,               0.001783,               0.001783,               0.001783
                     85,                0.61669,                 1.0139,                 1.3031,                0.78618,                0.64353,                0.73836,                0.52649,                0.72275,                 1.0117,                 1.3834,               0.001684,               0.001684,               0.001684
                     86,                0.61483,                 1.0123,                 1.3021,                0.78774,                0.64368,                0.73885,                0.52689,                0.72246,                 1.0104,                 1.3827,               0.001585,               0.001585,               0.001585
                     87,                0.61242,                 1.0095,                 1.2998,                0.78863,                0.64268,                0.73946,                0.52731,                0.72202,                 1.0096,                 1.3821,               0.001486,               0.001486,               0.001486
                     88,                0.61034,                0.99448,                 1.2998,                0.78896,                0.64271,                0.73938,                0.52794,                0.72168,                 1.0087,                 1.3816,               0.001387,               0.001387,               0.001387
                     89,                 0.6083,                0.99318,                 1.2957,                0.79078,                0.64375,                0.74016,                0.52875,                 0.7216,                 1.0074,                 1.3816,               0.001288,               0.001288,               0.001288
                     90,                0.60523,                 0.9816,                 1.2907,                 0.7891,                0.64596,                0.74088,                0.52898,                0.72134,                 1.0065,                 1.3809,               0.001189,               0.001189,               0.001189
                     91,                 0.5724,                0.80331,                 1.2495,                0.78887,                 0.6476,                0.74158,                0.52964,                0.72088,                 1.0057,                 1.3803,                0.00109,                0.00109,                0.00109
                     92,                0.56532,                0.78307,                 1.2421,                0.78742,                0.64801,                0.74224,                0.53048,                0.72056,                 1.0047,                 1.3796,               0.000991,               0.000991,               0.000991
                     93,                0.55734,                0.76751,                 1.2319,                0.78887,                0.64895,                0.74315,                0.53125,                0.72015,                 1.0036,                 1.3789,               0.000892,               0.000892,               0.000892
                     94,                0.55391,                0.76025,                 1.2299,                0.78789,                0.65071,                0.74394,                0.53187,                 0.7198,                 1.0034,                 1.3782,               0.000793,               0.000793,               0.000793
                     95,                0.54765,                   0.75,                 1.2227,                 0.7873,                0.65253,                0.74449,                0.53222,                 0.7196,                 1.0025,                 1.3779,               0.000694,               0.000694,               0.000694
                     96,                 0.5435,                0.74174,                 1.2152,                0.78745,                0.65388,                0.74455,                0.53217,                0.71919,                 1.0018,                 1.3776,               0.000595,               0.000595,               0.000595
                     97,                0.53985,                0.72824,                 1.2119,                0.78458,                0.65577,                0.74496,                0.53282,                 0.7189,                 1.0016,                 1.3772,               0.000496,               0.000496,               0.000496
                     98,                0.53507,                0.72252,                 1.2078,                 0.7823,                0.65695,                 0.7453,                0.53333,                0.71856,                  1.001,                 1.3769,               0.000397,               0.000397,               0.000397
                     99,                0.53489,                0.71408,                 1.2064,                 0.7851,                0.65696,                 0.7456,                0.53391,                0.71854,                 1.0002,                 1.3769,               0.000298,               0.000298,               0.000298
                    100,                0.53057,                0.70459,                 1.2032,                0.78403,                0.65807,                0.74578,                0.53414,                 0.7182,                0.99977,                 1.3763,               0.000199,               0.000199,               0.000199
